cars_cdm,cdm
ORG,ORG
TYPE,TYPE
APPLICATION,APPLICATION
AMRL_NBR_OF_ASSOCS,AMRL_NBR_OF_ASSOCS
AMRL_STATUS,AMRL_STATUS
AMRL_LAST_MAINT,AMRL_LAST_MAINT
AMRL_LAST_MAINT_OPER,AMRL_LAST_MAINT_OPER
AMRL_ACCEPT_DECLINE_IND,AMRL_ACCEPT_DECLINE_IND
AMRL_DECISION_DATE,AMRL_DECISION_DATE
AMRL_DECISION_OPER,AMRL_DECISION_OPER
AMRL_CREDIT_LIMIT,AMRL_CREDIT_LIMIT
AMRL_DATE_ENTERED_EDIT,AMRL_DATE_ENTERED_EDIT
AMRL_DATE_EXITED_EDIT,AMRL_DATE_EXITED_EDIT
AMRL_EDIT_OPER,AMRL_EDIT_OPER
AMRL_EDIT_STATUS,AMRL_EDIT_STATUS
AMRL_PRE_VAL_OPER,AMRL_PRE_VAL_OPER
AMRL_PRE_VAL_STATUS,AMRL_PRE_VAL_STATUS
AMRL_PRE_VAL_RESULT,AMRL_PRE_VAL_RESULT
AMRL_APP_SCORE_RESULT,AMRL_APP_SCORE_RESULT
AMRL_VERFICATION_OPER,AMRL_VERFICATION_OPER
AMRL_VERFICATION_STATUS,AMRL_VERFICATION_STATUS
AMRL_VERFICATION_RESULT,AMRL_VERFICATION_RESULT
AMRL_JUDGEMENT_OPER,AMRL_JUDGEMENT_OPER
AMRL_JUDGEMENT_STATUS,AMRL_JUDGEMENT_STATUS
AMRL_JUDGEMENT_RESULT,AMRL_JUDGEMENT_RESULT
AMRL_SETUP_OPER,AMRL_SETUP_OPER
AMRL_SETUP_STATUS,AMRL_SETUP_STATUS
AMRL_DECLINE_REASON_1,AMRL_DECLINE_REASON_1
AMRL_DECLINE_REASON_2,AMRL_DECLINE_REASON_2
AMRL_DECLINE_REASON_3,AMRL_DECLINE_REASON_3
AMRL_DECLINE_REASON_4,AMRL_DECLINE_REASON_4
AMRL_DECLINE_REASON_5,AMRL_DECLINE_REASON_5
AMRL_DECLINE_REASON_6,AMRL_DECLINE_REASON_6
AMRL_DECLINE_REASON_7,AMRL_DECLINE_REASON_7
AMRL_DECLINE_REASON_8,AMRL_DECLINE_REASON_8
AMRL_DECLINE_REASON_9,AMRL_DECLINE_REASON_9
AMRL_DECLINE_REASON_10,AMRL_DECLINE_REASON_10
AMRL_DECLINE_REASON_11,AMRL_DECLINE_REASON_11
AMRL_DECLINE_REASON_12,AMRL_DECLINE_REASON_12
AMRL_DECLINE_REASON_13,AMRL_DECLINE_REASON_13
AMRL_DECLINE_REASON_14,AMRL_DECLINE_REASON_14
AMRL_DECLINE_REASON_15,AMRL_DECLINE_REASON_15
AMRL_DECLINE_REASON_16,AMRL_DECLINE_REASON_16
AMRL_DECLINE_REASON_17,AMRL_DECLINE_REASON_17
AMRL_DECLINE_REASON_18,AMRL_DECLINE_REASON_18
AMRL_DECLINE_REASON_19,AMRL_DECLINE_REASON_19
AMRL_DECLINE_REASON_20,AMRL_DECLINE_REASON_20
AMRL_DECLINE_REASON_21,AMRL_DECLINE_REASON_21
AMRL_DECLINE_REASON_22,AMRL_DECLINE_REASON_22
AMRL_DECLINE_REASON_23,AMRL_DECLINE_REASON_23
AMRL_DECLINE_REASON_24,AMRL_DECLINE_REASON_24
AMRL_DECLINE_REASON_25,AMRL_DECLINE_REASON_25
AMRL_DECLINE_REASON_26,AMRL_DECLINE_REASON_26
AMRL_DECLINE_REASON_27,AMRL_DECLINE_REASON_27
AMRL_DECLINE_REASON_28,AMRL_DECLINE_REASON_28
AMRL_DECLINE_REASON_29,AMRL_DECLINE_REASON_29
AMRL_DECLINE_REASON_30,AMRL_DECLINE_REASON_30
AMRL_DECLINE_REASON_31,AMRL_DECLINE_REASON_31
AMRL_DECLINE_REASON_32,AMRL_DECLINE_REASON_32
AMRL_DECLINE_REASON_33,AMRL_DECLINE_REASON_33
AMRL_DECLINE_REASON_34,AMRL_DECLINE_REASON_34
AMRL_DECLINE_REASON_35,AMRL_DECLINE_REASON_35
AMRL_DECLINE_REASON_36,AMRL_DECLINE_REASON_36
AMRL_DECLINE_REASON_37,AMRL_DECLINE_REASON_37
AMRL_DECLINE_REASON_38,AMRL_DECLINE_REASON_38
AMRL_DECLINE_REASON_39,AMRL_DECLINE_REASON_39
AMRL_DECLINE_REASON_40,AMRL_DECLINE_REASON_40
AMRL_DECLINE_REASON_41,AMRL_DECLINE_REASON_41
AMRL_DECLINE_REASON_42,AMRL_DECLINE_REASON_42
AMRL_DECLINE_REASON_43,AMRL_DECLINE_REASON_43
AMRL_DECLINE_REASON_44,AMRL_DECLINE_REASON_44
AMRL_DECLINE_REASON_45,AMRL_DECLINE_REASON_45
AMRL_DECLINE_REASON_46,AMRL_DECLINE_REASON_46
AMRL_DECLINE_REASON_47,AMRL_DECLINE_REASON_47
AMRL_DECLINE_REASON_48,AMRL_DECLINE_REASON_48
AMRL_DECLINE_REASON_49,AMRL_DECLINE_REASON_49
AMRL_DECLINE_REASON_50,AMRL_DECLINE_REASON_50
AMRL_DECLINE_REASON_51,AMRL_DECLINE_REASON_51
AMRL_DECLINE_REASON_52,AMRL_DECLINE_REASON_52
AMRL_DECLINE_REASON_53,AMRL_DECLINE_REASON_53
AMRL_DECLINE_REASON_54,AMRL_DECLINE_REASON_54
AMRL_DECLINE_REASON_55,AMRL_DECLINE_REASON_55
AMRL_DECLINE_REASON_56,AMRL_DECLINE_REASON_56
AMRL_DECLINE_REASON_57,AMRL_DECLINE_REASON_57
AMRL_DECLINE_REASON_58,AMRL_DECLINE_REASON_58
AMRL_DECLINE_REASON_59,AMRL_DECLINE_REASON_59
AMRL_DECLINE_REASON_60,AMRL_DECLINE_REASON_60
AMRL_DECLINE_REASON_61,AMRL_DECLINE_REASON_61
AMRL_DECLINE_REASON_62,AMRL_DECLINE_REASON_62
AMRL_DECLINE_REASON_63,AMRL_DECLINE_REASON_63
AMRL_DECLINE_REASON_64,AMRL_DECLINE_REASON_64
AMRL_DECLINE_REASON_65,AMRL_DECLINE_REASON_65
AMRL_DECLINE_REASON_66,AMRL_DECLINE_REASON_66
AMRL_DECLINE_REASON_67,AMRL_DECLINE_REASON_67
AMRL_DECLINE_REASON_68,AMRL_DECLINE_REASON_68
AMRL_DECLINE_REASON_69,AMRL_DECLINE_REASON_69
AMRL_DECLINE_REASON_70,AMRL_DECLINE_REASON_70
AMRL_DECLINE_REASON_71,AMRL_DECLINE_REASON_71
AMRL_DECLINE_REASON_72,AMRL_DECLINE_REASON_72
AMRL_DECLINE_REASON_73,AMRL_DECLINE_REASON_73
AMRL_DECLINE_REASON_74,AMRL_DECLINE_REASON_74
AMRL_DECLINE_REASON_75,AMRL_DECLINE_REASON_75
AMRL_DECLINE_REASON_76,AMRL_DECLINE_REASON_76
AMRL_DECLINE_REASON_77,AMRL_DECLINE_REASON_77
AMRL_DECLINE_REASON_78,AMRL_DECLINE_REASON_78
AMRL_DECLINE_REASON_79,AMRL_DECLINE_REASON_79
AMRL_DECLINE_REASON_80,AMRL_DECLINE_REASON_80
AMRL_DECLINE_REASON_81,AMRL_DECLINE_REASON_81
AMRL_DECLINE_REASON_82,AMRL_DECLINE_REASON_82
AMRL_DECLINE_REASON_83,AMRL_DECLINE_REASON_83
AMRL_DECLINE_REASON_84,AMRL_DECLINE_REASON_84
AMRL_DECLINE_REASON_85,AMRL_DECLINE_REASON_85
AMRL_DECLINE_REASON_86,AMRL_DECLINE_REASON_86
AMRL_DECLINE_REASON_87,AMRL_DECLINE_REASON_87
AMRL_DECLINE_REASON_88,AMRL_DECLINE_REASON_88
AMRL_DECLINE_REASON_89,AMRL_DECLINE_REASON_89
AMRL_DECLINE_REASON_90,AMRL_DECLINE_REASON_90
AMRL_DECLINE_REASON_91,AMRL_DECLINE_REASON_91
AMRL_DECLINE_REASON_92,AMRL_DECLINE_REASON_92
AMRL_DECLINE_REASON_93,AMRL_DECLINE_REASON_93
AMRL_DECLINE_REASON_94,AMRL_DECLINE_REASON_94
AMRL_DECLINE_REASON_95,AMRL_DECLINE_REASON_95
AMRL_DECLINE_REASON_96,AMRL_DECLINE_REASON_96
AMRL_DECLINE_REASON_97,AMRL_DECLINE_REASON_97
AMRL_DECLINE_REASON_98,AMRL_DECLINE_REASON_98
AMRL_DECLINE_REASON_99,AMRL_DECLINE_REASON_99
AMRL_COUNTRY_1,AMRL_COUNTRY_1
AMRL_INCOME_TOTAL_1,AMRL_INCOME_TOTAL_1
AMRL_USER_FIELD_ALPHA_10_1_5,AMRL_USER_FIELD_ALPHA_10_1_5
AMRL_USER_FIELD_ALPHA_5_1_2,AMRL_USER_FIELD_ALPHA_3_1_4
AMRL_USER_FIELD_ALPHA_3_1_2,AMRL_USER_FIELD_ALPHA_1_1_3
AMRL_USER_FIELD_ALPHA_3_1_4,AMRL_USER_FIELD_ALPHA_5_1_2
AMRL_USER_FIELD_ALPHA_1_1_3,AMRL_DECLINE_REASON_100
SMRL_USER_FIELD_ALPHA_23_1_19,AMRL_DECLINE_REASON_101
AMRL_DECLINE_REASON_100,AMRL_DECLINE_REASON_102
AMRL_DECLINE_REASON_101,AMRL_DECLINE_REASON_103
AMRL_DECLINE_REASON_102,AMRL_DECLINE_REASON_104
AMRL_DECLINE_REASON_103,AMRL_DECLINE_REASON_105
AMRL_DECLINE_REASON_104,AMRL_DECLINE_REASON_106
AMRL_DECLINE_REASON_105,AMRL_DECLINE_REASON_107
AMRL_DECLINE_REASON_106,AMRL_DECLINE_REASON_108
AMRL_DECLINE_REASON_107,AMRL_DECLINE_REASON_109
AMRL_DECLINE_REASON_108,AMRL_DECLINE_REASON_110
AMRL_DECLINE_REASON_109,AMRL_DECLINE_REASON_111
AMRL_DECLINE_REASON_110,AMRL_DECLINE_REASON_112
AMRL_DECLINE_REASON_111,AMRL_DECLINE_REASON_113
AMRL_DECLINE_REASON_112,AMRL_DECLINE_REASON_114
AMRL_DECLINE_REASON_113,AMRL_DECLINE_REASON_115
AMRL_DECLINE_REASON_114,AMRL_DECLINE_REASON_116
AMRL_DECLINE_REASON_115,AMRL_DECLINE_REASON_117
AMRL_DECLINE_REASON_116,AMRL_DECLINE_REASON_118
AMRL_DECLINE_REASON_117,AMRL_DECLINE_REASON_119
AMRL_DECLINE_REASON_118,AMRL_DECLINE_REASON_120
AMRL_DECLINE_REASON_119,AMRL_DECLINE_REASON_121
AMRL_DECLINE_REASON_120,AMRL_DECLINE_REASON_122
AMRL_DECLINE_REASON_121,AMRL_DECLINE_REASON_123
AMRL_DECLINE_REASON_122,AMRL_DECLINE_REASON_124
AMRL_DECLINE_REASON_123,AMRL_DECLINE_REASON_125
AMRL_DECLINE_REASON_124,AMRL_DECLINE_REASON_126
AMRL_DECLINE_REASON_125,AMRL_DECLINE_REASON_127
AMRL_DECLINE_REASON_126,AMRL_DECLINE_REASON_128
AMRL_DECLINE_REASON_127,AMRL_DECLINE_REASON_129
AMRL_DECLINE_REASON_128,AMRL_DECLINE_REASON_130
AMRL_DECLINE_REASON_129,AMRL_DECLINE_REASON_131
AMRL_DECLINE_REASON_130,AMRL_DECLINE_REASON_132
AMRL_DECLINE_REASON_131,AMRL_DECLINE_REASON_133
AMRL_DECLINE_REASON_132,AMRL_DECLINE_REASON_134
AMRL_DECLINE_REASON_133,AMRL_DECLINE_REASON_135
AMRL_DECLINE_REASON_134,AMRL_DECLINE_REASON_136
AMRL_DECLINE_REASON_135,AMRL_DECLINE_REASON_137
AMRL_DECLINE_REASON_136,AMRL_DECLINE_REASON_138
AMRL_DECLINE_REASON_137,AMRL_DECLINE_REASON_139
AMRL_DECLINE_REASON_138,AMRL_DECLINE_REASON_140
AMRL_DECLINE_REASON_139,AMRL_DECLINE_REASON_141
AMRL_DECLINE_REASON_140,AMRL_DECLINE_REASON_142
AMRL_DECLINE_REASON_141,AMRL_DECLINE_REASON_143
AMRL_DECLINE_REASON_142,AMRL_DECLINE_REASON_144
AMRL_DECLINE_REASON_143,AMRL_DECLINE_REASON_145
AMRL_DECLINE_REASON_144,AMRL_DECLINE_REASON_146
AMRL_DECLINE_REASON_145,AMRL_DECLINE_REASON_147
AMRL_DECLINE_REASON_146,AMRL_DECLINE_REASON_148
AMRL_DECLINE_REASON_147,AMRL_DECLINE_REASON_149
AMRL_DECLINE_REASON_148,AMRL_DECLINE_REASON_150
AMRL_DECLINE_REASON_149,AMRL_DECLINE_REASON_151
AMRL_DECLINE_REASON_150,AMRL_DECLINE_REASON_152
AMRL_DECLINE_REASON_151,AMRL_DECLINE_REASON_153
AMRL_DECLINE_REASON_152,AMRL_DECLINE_REASON_154
AMRL_DECLINE_REASON_153,AMRL_DECLINE_REASON_155
AMRL_DECLINE_REASON_154,AMRL_DECLINE_REASON_156
AMRL_DECLINE_REASON_155,AMRL_DECLINE_REASON_157
AMRL_DECLINE_REASON_156,AMRL_DECLINE_REASON_158
AMRL_DECLINE_REASON_157,AMRL_DECLINE_REASON_159
AMRL_DECLINE_REASON_158,AMRL_DECLINE_REASON_160
AMRL_DECLINE_REASON_159,AMRL_DECLINE_REASON_161
AMRL_DECLINE_REASON_160,AMRL_DECLINE_REASON_162
AMRL_DECLINE_REASON_161,AMRL_DECLINE_REASON_163
AMRL_DECLINE_REASON_162,AMRL_DECLINE_REASON_164
AMRL_DECLINE_REASON_163,AMRL_DECLINE_REASON_165
AMRL_DECLINE_REASON_164,AMRL_DECLINE_REASON_166
AMRL_DECLINE_REASON_165,AMRL_DECLINE_REASON_167
AMRL_DECLINE_REASON_166,AMRL_DECLINE_REASON_168
AMRL_DECLINE_REASON_167,AMRL_DECLINE_REASON_169
AMRL_DECLINE_REASON_168,AMRL_DECLINE_REASON_170
AMRL_DECLINE_REASON_169,AMRL_DECLINE_REASON_171
AMRL_DECLINE_REASON_170,AMRL_DECLINE_REASON_172
AMRL_DECLINE_REASON_171,AMRL_DECLINE_REASON_173
AMRL_DECLINE_REASON_172,AMRL_DECLINE_REASON_174
AMRL_DECLINE_REASON_173,AMRL_DECLINE_REASON_175
AMRL_DECLINE_REASON_174,AMRL_DECLINE_REASON_176
AMRL_DECLINE_REASON_175,AMRL_DECLINE_REASON_177
AMRL_DECLINE_REASON_176,AMRL_DECLINE_REASON_178
AMRL_DECLINE_REASON_177,AMRL_DECLINE_REASON_179
AMRL_DECLINE_REASON_178,AMRL_DECLINE_REASON_180
AMRL_DECLINE_REASON_179,AMRL_DECLINE_REASON_181
AMRL_DECLINE_REASON_180,AMRL_DECLINE_REASON_182
AMRL_DECLINE_REASON_181,AMRL_DECLINE_REASON_183
AMRL_DECLINE_REASON_182,AMRL_DECLINE_REASON_184
AMRL_DECLINE_REASON_183,AMRL_DECLINE_REASON_185
AMRL_DECLINE_REASON_184,AMRL_DECLINE_REASON_186
AMRL_DECLINE_REASON_185,AMRL_DECLINE_REASON_187
AMRL_DECLINE_REASON_186,AMRL_DECLINE_REASON_188
AMRL_DECLINE_REASON_187,AMRL_DECLINE_REASON_189
AMRL_DECLINE_REASON_188,AMRL_DECLINE_REASON_190
AMRL_DECLINE_REASON_189,AMRL_DECLINE_REASON_191
AMRL_DECLINE_REASON_190,AMRL_DECLINE_REASON_192
AMRL_DECLINE_REASON_191,AMRL_DECLINE_REASON_193
AMRL_DECLINE_REASON_192,AMRL_DECLINE_REASON_194
AMRL_DECLINE_REASON_193,AMRL_DECLINE_REASON_195
AMRL_DECLINE_REASON_194,AMRL_DECLINE_REASON_196
AMRL_DECLINE_REASON_195,AMRL_DECLINE_REASON_197
AMRL_DECLINE_REASON_196,AMRL_DECLINE_REASON_198
AMRL_DECLINE_REASON_197,AMRL_DECLINE_REASON_199
AMRL_DECLINE_REASON_198,AMRL_DECLINE_REASON_200
AMRL_DECLINE_REASON_199,AMRL_DECLINE_REASON_201
AMRL_DECLINE_REASON_200,AMRL_DECLINE_REASON_202
AMRL_DECLINE_REASON_201,AMRL_DECLINE_REASON_203
AMRL_DECLINE_REASON_202,AMRL_DECLINE_REASON_204
AMRL_DECLINE_REASON_203,AMRL_DECLINE_REASON_205
AMRL_DECLINE_REASON_204,AMRL_DECLINE_REASON_206
AMRL_DECLINE_REASON_205,AMRL_DECLINE_REASON_207
AMRL_DECLINE_REASON_206,AMRL_DECLINE_REASON_208
AMRL_DECLINE_REASON_207,AMRL_DECLINE_REASON_209
AMRL_DECLINE_REASON_208,AMRL_DECLINE_REASON_210
AMRL_DECLINE_REASON_209,AMRL_DECLINE_REASON_211
AMRL_DECLINE_REASON_210,AMRL_DECLINE_REASON_212
AMRL_DECLINE_REASON_211,AMRL_DECLINE_REASON_213
AMRL_DECLINE_REASON_212,AMRL_DECLINE_REASON_214
AMRL_DECLINE_REASON_213,AMRL_DECLINE_REASON_215
AMRL_DECLINE_REASON_214,AMRL_DECLINE_REASON_216
AMRL_DECLINE_REASON_215,AMRL_DECLINE_REASON_217
AMRL_DECLINE_REASON_216,AMRL_DECLINE_REASON_218
AMRL_DECLINE_REASON_217,AMRL_DECLINE_REASON_219
AMRL_DECLINE_REASON_218,AMRL_DECLINE_REASON_220
AMRL_DECLINE_REASON_219,AMRL_DECLINE_REASON_221
AMRL_DECLINE_REASON_220,AMRL_DECLINE_REASON_222
AMRL_DECLINE_REASON_221,AMRL_DECLINE_REASON_223
AMRL_DECLINE_REASON_222,AMRL_DECLINE_REASON_224
AMRL_DECLINE_REASON_223,AMRL_DECLINE_REASON_225
AMRL_DECLINE_REASON_224,AMRL_DECLINE_REASON_226
AMRL_DECLINE_REASON_225,AMRL_DECLINE_REASON_227
AMRL_DECLINE_REASON_226,AMRL_DECLINE_REASON_228
AMRL_DECLINE_REASON_227,AMRL_DECLINE_REASON_229
AMRL_DECLINE_REASON_228,AMRL_DECLINE_REASON_230
AMRL_DECLINE_REASON_229,AMRL_DECLINE_REASON_231
AMRL_DECLINE_REASON_230,AMRL_DECLINE_REASON_232
AMRL_DECLINE_REASON_231,AMRL_DECLINE_REASON_233
AMRL_DECLINE_REASON_232,AMRL_DECLINE_REASON_234
AMRL_DECLINE_REASON_233,AMRL_DECLINE_REASON_235
AMRL_DECLINE_REASON_234,AMRL_DECLINE_REASON_236
AMRL_DECLINE_REASON_235,AMRL_DECLINE_REASON_237
AMRL_DECLINE_REASON_236,AMRL_DECLINE_REASON_238
AMRL_DECLINE_REASON_237,AMRL_DECLINE_REASON_239
AMRL_DECLINE_REASON_238,AMRL_DECLINE_REASON_240
AMRL_DECLINE_REASON_239,AMRL_DECLINE_REASON_241
AMRL_DECLINE_REASON_240,AMRL_DECLINE_REASON_242
AMRL_DECLINE_REASON_241,AMRL_DECLINE_REASON_243
AMRL_DECLINE_REASON_242,AMRL_DECLINE_REASON_244
AMRL_DECLINE_REASON_243,AMRL_DECLINE_REASON_245
AMRL_DECLINE_REASON_244,AMRL_DECLINE_REASON_246
AMRL_DECLINE_REASON_245,AMRL_DECLINE_REASON_247
AMRL_DECLINE_REASON_246,AMRL_DECLINE_REASON_248
AMRL_DECLINE_REASON_247,AMRL_DECLINE_REASON_249
AMRL_DECLINE_REASON_248,AMRL_USER_FIELD_ALPHA_3_1_2
AMRL_DECLINE_REASON_249,
